# coreIds
# 1 Modest
# 2 Strong
# 3 Fast
# 4 Magic
# 5 Aerois
# 6 Unaffiliated
# 7 Dexterous

# ================================
# ==== 1. Modest Core Layouts ====
# ================================

# Format:
# linkHash,coreId,dps,strength,dexterity,constitution,intelligence,wisdom,charisma,permutationId
#     for stats: if they're active use a 1. If they're inactive use a 0.

H8TK3pxjZneEx4U0KKJP3,2,1.99e41,1,1,0,1,1,0,37
IrcwCZtz0yoyNlPVZGTZQ,2,1.37e39,0,1,0,1,1,0,38
7J_aSDIQtryetxDSnl3Uu,2,1.37e39,1,0,0,1,1,0,39
9GcEHV7HJr3H8gDJGcDMN,2,9.45e36,0,0,0,1,1,0,40
pHkq18UE_TXwPYzI0aXRb,2,1.90e41,1,1,1,0,1,0,41
rDs4JTqcYvj3sbxPXmJ-4,2,1.31e39,0,1,1,0,1,0,42
#                               1,0,1,0,1,0,43
FrSv6Sxd9e-inZhQMQQN3,2,9.06e36,0,0,1,0,1,0,44
#                               1,1,0,0,1,0,45
rp3P3F7nafN1YztHnFCEz,2,9.45e36,0,1,0,0,1,0,46
#                               1,0,0,0,1,0,47
HcWBuqRMPUzyXDchJUw4T,2,6.52e34,0,0,0,0,1,0,48
_1L9cQTtDM1JSSx3LhyoF,2,1.99e41,1,1,1,1,0,0,49
t5N5een-w8gjhTS37X0Kf,2,1.39e39,0,1,1,1,0,0,50
xUHtYbd65F1wOKyHVIbO8,2,1.37e39,1,0,1,1,0,0,51
MOgrRfFbXjmIBuNZu3_1L,2,9.45e36,0,0,1,1,0,0,52
#                               1,1,0,1,0,0,53
BoKzBuQQ_gwJbctPbz0FM,2,9.45e36,0,1,0,1,0,0,54
#                               1,0,0,1,0,0,55
aWlgIBvGaXLpMnox7F8zh,2,6.52e34,0,0,0,1,0,0,56
2NkR_-Zj7k8nTTT72xM17,2,1.37e39,1,1,1,0,0,0,57
2XBdKezuPRW50tUV5wmxx,2,9.45e36,0,1,1,0,0,0,58
Dfl86ku0QJr55DVVZzcV8,2,9.45e36,1,0,1,0,0,0,59
#                               0,0,1,0,0,0,60
e5l-Cqc9D-lsTtSy8j0qv,2,9.45e36,1,1,0,0,0,0,61
#                               0,1,0,0,0,0,62
#                               1,0,0,0,0,0,63
#                               0,0,0,0,0,0,64

# ==============================
# ==== 3. Fast Core Layouts ====
# ==============================

# Format:
# linkHash,coreId,dps,note

plcWqJ1WV0VuqeIfPlKvv,3,1.03e39,Fully Supercharged
a3egkSdwZEtornHzWM6Q9,3,9.73e38,'Budget' Supercharged
cwVpTjFwEtyRSYAA5LfEy,3,3.38e32,Nahara

# ===============================
# ==== 4. Magic Core Layouts ====
# ===============================

# Format:
# linkHash,coreId,dps,intelligence,wisdom,charisma,magic,permutationId
#     for stats: if they're active use a 1. If they're inactive use a 0.

8euk6u6PKHy_mmNX4S7ek,4,2.83e53,1,1,1,1,1
py0fM4EedKfIniT2SGw66,4,3.52e49,0,1,1,1,2
1QAVPgKXTPpv6QyZmNM3l,4,1.71e49,1,0,1,1,3
Ig_TEITfWozF2MZ8YbCJB,4,1.67e45,0,0,1,1,4
qeHJee7Hou-VGAQzaOonE,4,1.35e49,1,1,0,1,5
WFKQC_XoBwO6aZQWEDRJ2,4,6.40e44,0,1,0,1,6
VWE8AGgjNEWfILkyr-Nfs,4,8.16e44,1,0,0,1,7
umP6sO2p9qV1JfI3m7abQ,4,7.96e40,0,0,0,1,8
UFBP5fZasLTvqf_bkqfx5,4,3.84e45,1,1,1,0,9
c23hOzJAH6rdvgsf5yKeZ,4,1.82e41,0,1,1,0,10
1GTgb0TcV1rE5D0W0Uoyj,4,2.19e41,1,0,1,0,11
GvRCQNy_OdugNFOjnqZZt,4,1.04e37,0,0,1,0,12
Y-dm5dFF-poiLBflC5f17,4,1.91e41,1,1,0,0,13
y9CoTUR3HQcKJ9AATFo2L,4,9.06e36,0,1,0,0,14
80K7ITgZH227LMZ8Z-Xr2,4,1.04e37,1,0,0,0,15
hDKfifV4tRpUJ7BNj7MI9,4,4.96e32,0,0,0,0,16


# ================================
# ==== 5. Aerois Core Layouts ====
# ================================

# Format:
# linkHash,coreId,dps,lucius
#     for stats: if they're active use a 1. If they're inactive use a 0.

CPsUZyBluqIEn96nwVj0C,5,7.91e35,1

# ======================================
# ==== 6. Unaffiliated Core Layouts ====
# ======================================

# Format:
# linkHash,coreId,dps,unaffiliated
#     for stats: if they're active use a 1. If they're inactive use a 0.

dFFmh0JAwYRLfa9mH_uHt,6,1.15e49,1

# ======================================
# ==== 7. Dexterous Core Layouts ====
# ======================================

# Format:
# linkHash,coreId,dps,dexterous
#     for stats: if they're active use a 1. If they're inactive use a 0.

7114GoDxPsVq9PvgtiUYx,7,1.15e49,1
